"","institution","state","plan","city","sector","groffer","hbcu","hospital","locale","c18ugprf","f1systyp","countynm","Size","Application","Enrollment","Endowment","Total_Expense","Total_Revenue","Total_Liabilities","Tuition","Total_Asset","Type","Gift","calsys","slo","dstnugc","dstngc","distcrs","disabpct","alloncam","room","roomcap","board","indistrictug","instateug","outstateug","indistrictg","instateg","outstateg","eftotlt_1","eftotlt_2","eftotlt_12","eftotlt_21","eftotlt_22","eftotlt_32","eftotlt_41","eftotlt_42","eftotlt_52","number_locations","internationals","efdeexc_1","efdeexc_2","efdeexc_3","efdeexc_12","efdesom_1","efdesom_2","efdesom_3","efdesom_12","rrptct","stufacr","eaptot_10000","eaptot_10050","eaptot_27000","eaptot_30000","eaptot_37000","eaptot_10010","eaptot_10020","eaptot_10030","eappt_10000","eappt_10050","eappt_27000","eappt_30000","eappt_37000","eappt_10010","eappt_10020","eappt_10030","state.cases","state.deaths","county.cases","county.deaths","sainstt_7","sa_9mct_7","satotlt_7","sa09mct_7","sa10mct_7","sa11mct_7","sa12mct_7","saoutlt_7","sa09mot_7","sa10mot_7","sa11mot_7","sa12mot_7","saeq9ot_7","saeq9at_7","sa09mat_7","sa10mat_7","sa11mat_7","sa12mat_7","sainstt_1","sa_9mct_1","satotlt_1","sa09mct_1","sa10mct_1","sa11mct_1","sa12mct_1","saoutlt_1","sa09mot_1","sa10mot_1","sa11mot_1","sa12mot_1","saeq9ot_1","saeq9at_1","sa09mat_1","sa10mat_1","sa11mat_1","sa12mat_1","sainstt_2","sa_9mct_2","satotlt_2","sa09mct_2","sa10mct_2","sa11mct_2","sa12mct_2","saoutlt_2","sa09mot_2","sa10mot_2","sa11mot_2","sa12mot_2","saeq9ot_2","saeq9at_2","sa09mat_2","sa10mat_2","sa11mat_2","sa12mat_2","sainstt_3","sa_9mct_3","satotlt_3","sa09mct_3","sa10mct_3","sa11mct_3","sa12mct_3","saoutlt_3","sa09mot_3","sa10mot_3","sa11mot_3","sa12mot_3","saeq9ot_3","saeq9at_3","sa09mat_3","sa10mat_3","sa11mat_3","sa12mat_3","sainstt_4","sa_9mct_4","satotlt_4","sa09mct_4","sa10mct_4","sa11mct_4","sa12mct_4","saoutlt_4","sa09mot_4","sa10mot_4","sa11mot_4","sa12mot_4","saeq9ot_4","saeq9at_4","sa09mat_4","sa10mat_4","sa11mat_4","sa12mat_4","sainstt_5","sa_9mct_5","satotlt_5","sa09mct_5","sa10mct_5","sa11mct_5","sa12mct_5","saoutlt_5","sa09mot_5","sa10mot_5","sa11mot_5","sa12mot_5","saeq9ot_5","saeq9at_5","sa09mat_5","sa10mat_5","sa11mat_5","sa12mat_5","sainstt_6","sa_9mct_6","satotlt_6","sa09mct_6","sa10mct_6","sa11mct_6","sa12mct_6","saoutlt_6","sa09mot_6","sa10mot_6","sa11mot_6","sa12mot_6","saeq9ot_6","saeq9at_6","sa09mat_6","sa10mat_6","sa11mat_6","sa12mat_6","sanin01","sanin02","sanin03","sanin04","sanin05","sanin06","sanin07","sanin08","sanin09","sanin10","sanin11","sanin12","sanin13","sanin14","sanit01","sanit02","sanit03","sanit04","sanit05","sanit06","sanit07","sanit08","sanit09","sanit10","sanit11","sanit12","sanit13","sanit14","text_length","Sent_Score","Sentiment"
"148","Eastern Illinois University","IL","Planning for in-person","Charleston",0,0,1,1,7,12,1,"Coles",2,8580,796,56512129,212142320,212923329,120845083,25329798,325455478,"Public",NA,0,1,1,1,1,NA,1,0,5385,0,8726,8726,8726,7176,7176,17232,7526,6012,1514,4767,4091,676,2759,1921,838,26,8,985,533,532,452,1510,1233,1232,277,1,13,1210,258,8,32,142,596,267,33,129,3,0,0,0,125,6,1,116128,5225,123,13,381,0,381,349,4,0,28,29468112,25843482,277353,0,3347277,28603557,75075,74050,69338,NA,119546,138,0,138,118,0,0,20,13509873,10972150,0,0,2537723,12875442,93300,92984,NA,NA,126886,95,0,95,86,2,0,7,7245970,6385396,166253,0,694321,7055764,74271,74249,83127,NA,99189,36,0,36,35,0,0,1,2895828,2780595,0,0,115233,2867020,79639,79446,NA,NA,115233,112,0,112,110,2,0,0,5816441,5705341,111100,0,0,5805331,51833,51867,55550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,700,0,0,38,32,79,55,124,17,159,4,142,46,4,36686875,0,0,2293198,3894919,4177277,3256380,6908278,812462,6031683,162148,5696310,3338950,115270,4981,0.9993,"Positive"
"149","Eastern Michigan University","MI","Planning for in-person","Ypsilanti",0,0,1,1,3,8,1,"Washtenaw",3,14577,2373,76284216,353671046,360679555,571845318,171643078,739490736,"Public",NA,0,1,1,1,1,6,1,0,4350,0,12408,12408,12408,18000,18000,32040,19123,16022,3101,12358,11428,930,6765,4594,2171,30,7,1916,1292,1261,624,4524,4013,3978,511,30,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55944,5372,1313,100,718,0,718,718,0,0,0,62966309,62966309,0,0,0,62966309,87697,87697,NA,NA,NA,339,0,339,339,0,0,0,35577363,35577363,0,0,0,35577363,104948,104948,NA,NA,NA,150,0,150,150,0,0,0,12696304,12696304,0,0,0,12696304,84642,84642,NA,NA,NA,138,0,138,138,0,0,0,10447251,10447251,0,0,0,10447251,75705,75705,NA,NA,NA,3,0,3,3,0,0,0,221952,221952,0,0,0,221952,73984,73984,NA,NA,NA,88,0,88,88,0,0,0,4023439,4023439,0,0,0,4023439,45721,45721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,967,0,0,57,269,50,69,120,14,167,1,170,39,11,65861971,0,0,3633243,25165102,3062348,4960546,8296129,780139,8162949,35728,8445659,2683012,637116,5080,0.9977,"Positive"
"150","Eastern Nazarene College","MA","Planning for in-person","Quincy",1,0,1,1,3,10,1,"Norfolk",0,950,140,19548765,19545942,21189981,26912929,7205625,26927047,"Private non-profit",3336117,0,1,0,0,0,6,1,0,594,0,28396,28396,28396,9800,9800,9800,848,660,188,677,578,99,171,82,89,31,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94895,6640,7919,799,34,0,34,19,12,1,2,1852926,1006481,601331,73828,171286,1736535,51075,52973,50111,73828,85643,6,0,6,4,0,0,2,420604,249318,0,0,171286,377783,62964,62330,NA,NA,85643,5,0,5,4,0,1,0,288341,214513,0,73828,0,274904,54981,53628,NA,73828,NA,16,0,16,11,5,0,0,801581,542650,258931,0,0,775688,48480,49332,51786,NA,NA,7,0,7,0,7,0,0,342400,0,342400,0,0,308160,44023,NA,48914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,0,0,20,19,6,10,10,1,8,7,4,4,0,4153514,0,0,705385,1325709,278068,518815,440158,45900,253260,273000,148899,164320,0,2719,0.9966,"Positive"
"151","Eastern Washington University","WA","Planning for online","Cheney",0,0,1,1,6,10,1,"Spokane",3,8374,1728,32030368,234092618,237519865,224230338,85539592,516608436,"Public",NA,1,1,1,1,1,5,1,0,2640,1,6381,6381,6381,11439,11439,26569,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,3,583,424,419,159,2907,2757,2757,150,19,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21825,1116,544,31,447,0,447,445,0,0,2,35758476,35629403,0,0,129073,35726208,79924,80066,NA,NA,64537,149,0,149,149,0,0,0,15742962,15742962,0,0,0,15742962,105657,105657,NA,NA,NA,65,0,65,65,0,0,0,5345503,5345503,0,0,0,5345503,82239,82239,NA,NA,NA,95,0,95,95,0,0,0,7005828,7005828,0,0,0,7005828,73746,73746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138,0,138,136,0,0,2,7664183,7535110,0,0,129073,7631915,55304,55405,NA,NA,64537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,907,0,0,112,150,55,72,90,10,163,4,168,65,18,53100724,0,0,5592306,14197514,3486454,5555816,4799740,556562,6717890,143328,7474290,3815256,761568,2445,0.9666,"Positive"
"152","Elmhurst College","IL","Planning for in-person","Elmhurst",1,0,1,1,3,12,1,"DuPage",1,4219,530,109076598,67779874,82959024,81720095,58069889,106941952,"Private non-profit",2904575,3,1,1,1,1,NA,1,0,973,1,36755,36755,36755,31170,31170,31170,3426,2848,578,2871,2710,161,555,138,417,28,2,135,9,4,126,366,324,324,42,NA,13,686,133,6,43,89,396,97,24,277,18,4,0,16,231,1,0,116128,5225,7479,351,157,0,157,152,0,0,5,11352712,11046328,0,0,306384,11276116,71822,72673,NA,NA,61277,54,0,54,54,0,0,0,4587184,4587184,0,0,0,4587184,84948,84948,NA,NA,NA,41,0,41,41,0,0,0,2908136,2908136,0,0,0,2908136,70930,70930,NA,NA,NA,45,0,45,45,0,0,0,2918472,2918472,0,0,0,2918472,64855,64855,NA,NA,NA,1,0,1,1,0,0,0,77000,77000,0,0,0,77000,77000,77000,NA,NA,NA,11,0,11,11,0,0,0,555536,555536,0,0,0,555536,50503,50503,NA,NA,NA,5,0,5,0,0,0,5,306384,0,0,0,306384,229788,45958,NA,NA,NA,61277,252,0,0,9,43,11,9,49,2,44,0,73,11,1,13823084,0,0,619876,4129269,661281,460647,2559121,104291,1712075,0,2914231,600704,61589,4047,0.9941,"Positive"
"153","Elon University","NC","Planning for in-person","Elon",1,0,1,1,4,13,1,"Alamance",2,10729,1698,255975435,237496209,282040692,274749758,185516579,611409125,"Private non-profit",20815934,3,0,1,0,1,10,1,0,4192,1,34850,34850,34850,13482,13482,13482,6991,6196,795,6703,6029,674,288,167,121,48,1,0,0,0,NA,0,0,0,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25616,859,293,21,438,0,438,390,18,25,5,37310687,31857850,2296721,2664832,491284,36473194,83272,81687,127596,106593,98257,80,0,80,65,9,5,1,9034402,6947889,1242999,734241,109273,8749152,109364,106891,138111,146848,109273,152,0,152,140,6,4,2,12705194,11293051,738521,478571,195051,12495479,82207,80665,123087,119643,97526,145,0,145,129,3,13,0,11496113,9893892,315201,1287020,0,11230355,77451,76697,105067,99002,NA,11,0,11,6,0,3,2,654521,302561,0,165000,186960,577751,52523,50427,NA,55000,93480,50,0,50,50,0,0,0,3420457,3420457,0,0,0,3420457,68409,68409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,897,0,0,128,128,81,62,129,11,167,0,125,47,19,55974688,0,0,6858337,16853142,4673193,4145593,7903846,487356,6001623,0,5451389,2690982,909227,4939,-0.9823,"Negative"
"154","Embry-Riddle Aeronautical University-Prescott","AZ","Planning for in-person","Prescott",1,0,1,1,9,13,0,"Yavapai",1,2859,609,40585714,NA,NA,NA,68633000,NA,"Private non-profit",1354000,0,0,1,1,1,5,1,0,1422,1,34392,34392,34392,17196,17196,17196,2776,2726,50,2637,2592,45,139,134,5,50,14,9,9,9,0,94,94,94,0,3,17,489,174,117,45,42,216,56,58,76,6,6,0,3,63,0,1,17763,857,294,6,124,0,124,120,4,0,0,10476267,10090164,386103,0,0,10437657,84175,84085,96526,NA,NA,21,0,21,20,1,0,0,2344351,2229910,114441,0,0,2332907,111091,111496,114441,NA,NA,36,0,36,34,2,0,0,3235174,3056512,178662,0,0,3217308,89370,89897,89331,NA,NA,62,0,62,61,1,0,0,4607179,4514179,93000,0,0,4597879,74159,74003,93000,NA,NA,5,0,5,5,0,0,0,289563,289563,0,0,0,289563,57913,57913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,289,0,0,122,45,9,3,16,2,32,0,39,15,6,16235909,0,0,6313490,4609311,513450,146183,892835,100958,1159016,0,1461919,750991,287756,4801,0.9919,"Positive"
"155","Embry-Riddle Aeronautical University-Daytona Beach","FL","Planning for in-person","Daytona Beach",1,0,1,1,2,13,0,"Volusia",2,6017,1409,90359654,352473000,413395000,312995000,172350000,517099000,"Private non-profit",2920000,0,0,1,1,1,7,1,0,2331,1,34392,34392,34392,17196,17196,17196,6613,5984,629,6133,5601,532,480,383,97,55,85,26,10,10,16,32,23,23,9,4,17,1439,718,259,205,124,462,166,68,75,9,5,1,6,59,2,2,53277,2363,709,37,316,0,316,308,2,0,6,27677041,26892192,283827,0,501022,27523403,87099,87312,141914,NA,83504,85,0,85,82,2,0,1,9797755,9383595,283827,0,130333,9736789,114550,114434,141914,NA,130333,97,0,97,95,0,0,2,8598225,8442816,0,0,155409,8559373,88241,88872,NA,NA,77705,109,0,109,107,0,0,2,8008566,7872761,0,0,135805,7974615,73162,73577,NA,NA,67903,25,0,25,24,0,0,1,1272495,1193020,0,0,79475,1252626,50105,49709,NA,NA,79475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1048,17,0,282,204,87,113,86,7,59,0,118,51,24,64885792,1374562,0,13358331,21915855,4886729,7835726,5075928,397311,2094212,0,4523346,2189508,1234284,4801,0.9919,"Positive"
"156","Emerson College","MA","Waiting to decide","Boston",1,0,1,1,0,13,1,"Suffolk",1,12941,923,171634132,218381715,209274166,603635738,143691598,431691967,"Private non-profit",10052795,0,0,1,1,1,8,1,0,1953,0,43712,43712,43712,30024,30024,30024,4573,3855,718,4407,3779,628,166,76,90,52,143,85,31,0,54,44,0,0,44,1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94895,6640,17698,852,206,0,206,206,0,0,0,18914574,18914574,0,0,0,18914574,91818,91818,NA,NA,NA,39,0,39,39,0,0,0,4748314,4748314,0,0,0,4748314,121752,121752,NA,NA,NA,52,0,52,52,0,0,0,5206470,5206470,0,0,0,5206470,100124,100124,NA,NA,NA,56,0,56,56,0,0,0,4357908,4357908,0,0,0,4357908,77820,77820,NA,NA,NA,1,0,1,1,0,0,0,58000,58000,0,0,0,58000,58000,58000,NA,NA,NA,58,0,58,58,0,0,0,4543882,4543882,0,0,0,4543882,78343,78343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,567,0,0,29,246,50,40,84,17,52,0,42,4,3,46941828,0,0,1855431,26638276,3192195,2808803,5823615,1242862,2772499,0,2259698,205694,142755,3846,0.986,"Positive"
"157","Emmanuel College","MA","Considering a range of scenarios","Boston",1,0,1,1,0,13,1,"Suffolk",1,5770,596,137309933,64457081,70555071,319204893,35081856,125942143,"Private non-profit",4035466,0,1,1,1,1,7,1,0,1395,1,39544,39544,39544,14319,14319,14319,2209,2089,120,1942,1935,7,267,154,113,27,5,30,13,13,17,11,2,2,9,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94895,6640,17698,852,94,0,94,94,0,0,0,7655826,7655826,0,0,0,7655826,81445,81445,NA,NA,NA,14,0,14,14,0,0,0,1616982,1616982,0,0,0,1616982,115499,115499,NA,NA,NA,31,0,31,31,0,0,0,2618165,2618165,0,0,0,2618165,84457,84457,NA,NA,NA,28,0,28,28,0,0,0,2140784,2140784,0,0,0,2140784,76457,76457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,0,21,21,0,0,0,1279895,1279895,0,0,0,1279895,60947,60947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176,0,0,5,44,81,11,5,0,9,0,16,5,0,14183947,0,0,400627,6156289,5188472,766361,319426,0,351667,0,747470,253635,0,470,0.7066,"Positive"
"158","Emory & Henry College","VA","Planning for in-person","Emory",1,0,1,1,9,11,1,"Washington",1,1660,268,89616800,43248618,41803428,71888503,18083582,174940756,"Private non-profit",5483012,0,0,1,1,1,5,1,0,895,0,34500,34500,34500,22354,22354,22354,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,0,0,0,0,0,21,21,21,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41401,1338,51,4,100,0,100,67,1,5,27,6882312,3840497,46338,351277,2644200,6152696,61527,57321,46338,70255,97933,23,0,23,15,0,3,5,1847602,1069089,0,230554,547959,1668651,72550,71273,NA,76851,109592,26,0,26,19,0,1,6,1809880,1138444,0,69223,602213,1646728,63336,59918,NA,69223,100369,37,0,37,25,0,0,12,2448312,1265316,0,0,1182996,2152563,58177,50613,NA,NA,98583,14,0,14,8,1,1,4,776518,367648,46338,51500,311032,684753,48911,45956,46338,51500,77758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,0,0,10,31,15,7,49,9,12,1,24,9,0,7991154,0,0,473091,2779172,760254,303293,1955417,330466,342117,40040,776362,230942,0,5014,0.9221,"Positive"
"159","Emory University","GA","Waiting to decide","Atlanta",1,0,1,0,0,14,1,"DeKalb",3,27559,1429,7985467382,5347953000,6183312000,4665708000,405996000,9778105000,"Private non-profit",538425000,0,1,1,1,1,8,1,0,4695,1,50590,50590,50590,41800,41800,41800,14458,7086,7372,12902,6985,5917,1556,101,1455,50,239,174,30,21,144,1099,112,112,987,0,9,12180,6569,1010,878,963,3802,799,258,1189,426,60,24,141,599,41,3,43363,1942,3635,112,972,35,937,775,0,5,157,129130464,101614127,0,503999,27012338,122285652,130508,131115,NA,100800,172053,373,2,371,315,0,1,55,69947368,56464359,0,141128,13341881,66586212,179478,179252,NA,141128,242580,216,1,215,172,0,3,40,27216126,20338378,0,277059,6600689,25515529,118677,118246,NA,92353,165017,183,2,181,143,0,1,37,19582218,15041769,0,85812,4454637,18452941,101950,105187,NA,85812,120396,70,22,48,27,0,0,21,2906602,1087835,0,0,1818767,2451910,51081,40290,NA,NA,86608,126,4,122,118,0,0,4,9478150,8681786,0,0,796364,9279059,76058,73574,NA,NA,199091,4,4,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,5318,295,69,889,735,500,1043,403,135,541,3,501,176,28,394904931,20194275,7566886,58612953,107929956,34599481,77173087,26544021,8770853,19924831,98682,23460949,8969756,1059201,4461,0.992,"Positive"
"160","Emporia State University","KS","Planning for in-person","Emporia",0,0,1,1,8,12,0,"Lyon",2,1648,656,77134182,96615729,89175509,78910933,34495033,147526507,"Public",NA,0,0,1,1,1,4,1,0,853,0,5154,5154,5154,6238,6328,19403,5796,3569,2227,3715,3293,422,2081,276,1805,13,NA,1995,180,179,1815,1169,1006,1003,163,2,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9512,209,398,3,244,0,244,224,0,0,20,15420177,13656704,0,0,1763473,14979309,61391,60967,NA,NA,88174,71,0,71,59,0,0,12,5215899,4155985,0,0,1059914,4950921,69731,70440,NA,NA,88326,61,0,61,55,0,0,6,3995127,3445779,0,0,549348,3857790,63242,62651,NA,NA,91558,76,0,76,75,0,0,1,4721382,4618882,0,0,102500,4695757,61786,61585,NA,NA,102500,36,0,36,35,0,0,1,1487769,1436058,0,0,51711,1474841,40968,41030,NA,NA,51711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,446,0,0,23,93,15,45,48,8,75,0,109,28,2,21070834,0,0,1013504,7101168,728076,2248902,2165553,477758,2353894,0,3917331,994053,70595,2652,0.9852,"Positive"
"161","Fairfield University","CT","Planning for in-person","Fairfield",1,0,1,1,3,11,1,"Fairfield",2,11361,1091,331859000,229272579,226765587,331672887,131853367,524330115,"Private non-profit",17538756,0,1,1,1,1,15,1,0,3159,1,47650,47650,47650,17325,17325,17325,5273,4177,1096,4461,3989,472,812,188,624,31,37,53,9,8,44,707,461,460,246,1,12,1170,684,100,78,121,304,187,49,355,345,1,0,9,0,0,0,41559,3826,15353,1246,282,0,282,282,0,0,0,28841621,28841621,0,0,0,28841621,102275,102275,NA,NA,NA,75,0,75,75,0,0,0,9767813,9767813,0,0,0,9767813,130238,130238,NA,NA,NA,97,0,97,97,0,0,0,9802334,9802334,0,0,0,9802334,101055,101055,NA,NA,NA,93,0,93,93,0,0,0,8019919,8019919,0,0,0,8019919,86236,86236,NA,NA,NA,17,0,17,17,0,0,0,1251555,1251555,0,0,0,1251555,73621,73621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,533,0,0,116,78,26,55,74,12,37,0,112,23,0,39264737,0,0,7595239,9884588,2110609,4275922,5689728,889371,2053614,0,5340492,1425174,0,1376,0.9412,"Positive"
"162","Fairmont State University","WV","Planning for in-person","Fairmont",0,0,1,1,7,10,0,"Marion",1,2409,821,29331492,62611869,64000275,93190410,12926056,166661823,"Public",NA,0,0,1,1,1,4,1,0,1189,1,5408,5408,5408,6556,6556,15036,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,2,476,300,277,176,1476,1429,1426,47,15,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986,74,51,2,168,0,168,146,9,5,8,9998456,8798598,515017,270038,414803,9794107,58298,60264,57224,54008,51850,46,0,46,43,1,2,0,3324420,3040910,109798,173712,0,3281825,71344,70719,109798,86856,NA,25,0,25,24,1,0,0,1546083,1460370,85713,0,0,1537512,61500,60849,85713,NA,NA,72,0,72,69,3,0,0,4006678,3833930,172748,0,0,3989403,55408,55564,57583,NA,NA,9,0,9,8,1,0,0,402361,365787,36574,0,0,398704,44300,45723,36574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,0,16,2,3,3,8,718914,97601,110184,96326,414803,586664,36666,48801,36728,32109,51850,210,0,0,12,64,10,20,36,2,16,0,37,13,0,10886617,0,0,379492,4642838,622804,1059401,1718525,131385,629405,0,1283484,419283,0,2958,0.9963,"Positive"
"163","Faith Baptist Bible College and Theological Seminary","IA","Planning for in-person","Ankeny",1,0,1,1,3,11,1,"Polk",0,175,77,4340820,6884014,6300454,1284186,2173779,18277394,"Private non-profit",1148235,0,0,1,1,1,NA,1,0,230,0,16274,16274,16274,6500,6500,6500,353,293,60,251,234,17,102,59,43,23,2,33,25,0,8,22,0,0,22,0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18672,510,3959,119,18,0,18,18,0,0,0,823968,823968,0,0,0,823968,45776,45776,NA,NA,NA,9,0,9,9,0,0,0,428256,428256,0,0,0,428256,47584,47584,NA,NA,NA,3,0,3,3,0,0,0,139896,139896,0,0,0,139896,46632,46632,NA,NA,NA,6,0,6,6,0,0,0,255816,255816,0,0,0,255816,42636,42636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,0,0,3,17,2,0,1,1,6,2,11,0,0,1644727,0,0,75410,936304,74152,0,39520,25229,169672,46672,277768,0,0,2047,0.9735,"Positive"
"164","Ferris State University","MI","Planning for in-person","Big Rapids",0,0,1,1,7,6,1,"Mecosta",3,10284,1833,78749337,260834173,275659877,300202606,119303790,557114404,"Public",NA,0,1,1,1,1,NA,1,0,3356,1,11984,11984,11984,7320,7320,7320,13250,11896,1354,8916,8079,837,4334,3817,517,33,9,1276,1026,951,250,2430,2360,2336,70,28,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55944,5372,20,2,517,25,492,408,0,0,84,42514432,33330642,0,0,9183790,40218485,81745,81693,NA,NA,109331,157,0,157,128,0,0,29,17412461,13309479,0,0,4102982,16386716,104374,103980,NA,NA,141482,131,0,131,116,0,0,15,11128536,9518313,0,0,1610223,10725980,81878,82054,NA,NA,107348,127,0,127,104,0,0,23,9957725,7640693,0,0,2317032,9378467,73846,73468,NA,NA,100741,2,0,2,2,0,0,0,123372,123372,0,0,0,123372,61686,61686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,25,75,58,0,0,17,3892338,2738785,0,0,1153553,3603950,48053,47220,NA,NA,67856,797,0,0,85,72,88,66,56,16,174,5,180,47,8,45158380,0,0,4607061,9183627,4268391,4019099,3935309,897309,7079866,231959,8026304,2530175,379280,4249,0.9819,"Positive"
"165","Ferrum College","VA","Planning for in-person","Ferrum",1,1,1,1,10,9,1,"Franklin",1,3927,425,52977771,33607262,33328783,32589860,15041762,92484997,"Private non-profit",2234812,0,0,1,NA,1,5,1,0,1439,0,34060,34060,34060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,0,0,0,0,NA,110,110,110,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41401,1338,35,1,70,0,70,70,0,0,0,3752222,3752222,0,0,0,3752222,53603,53603,NA,NA,NA,11,0,11,11,0,0,0,707114,707114,0,0,0,707114,64283,64283,NA,NA,NA,24,0,24,24,0,0,0,1376674,1376674,0,0,0,1376674,57361,57361,NA,NA,NA,28,0,28,28,0,0,0,1381079,1381079,0,0,0,1381079,49324,49324,NA,NA,NA,7,0,7,7,0,0,0,287355,287355,0,0,0,287355,41051,41051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,216,0,0,16,39,17,8,42,5,59,0,21,9,0,8726531,0,0,414361,2934578,463934,295171,1970067,202520,1462705,0,638434,344761,0,2723,0.9867,"Positive"
